index,set
0,support
1,support
2,support
3,support
4,support
5,support
6,support
7,support
8,support
9,support
10,support
11,support
14,support
15,support
16,support
17,support
18,support
19,support
20,support
21,support
22,support
23,support
24,support
25,support
26,support
27,support
28,support
29,support
30,support
31,support
36,support
37,support
38,support
39,support
40,support
41,support
42,support
43,support
44,support
45,support
46,support
47,support
52,support
53,support
54,support
55,support
56,support
57,support
58,support
59,support
60,support
61,support
62,support
63,support
64,support
65,support
66,support
67,support
72,support
73,support
74,support
75,support
76,support
77,support
78,support
79,support
80,support
81,support
82,support
83,support
84,support
85,support
86,support
87,support
88,support
89,support
90,support
91,support
96,support
97,support
98,support
99,support
100,support
101,support
102,support
103,support
108,support
109,support
110,support
111,support
112,support
113,support
114,support
115,support
120,support
121,support
122,support
123,support
124,support
125,support
126,support
127,support
128,support
129,support
130,support
131,support
136,support
137,support
138,support
139,support
140,support
141,support
142,support
143,support
144,support
145,support
146,support
147,support
148,support
149,support
150,support
151,support
152,support
153,support
154,support
155,support
156,support
157,support
158,support
159,support
480,support
481,support
482,support
483,support
484,support
485,support
488,support
489,support
492,support
493,support
496,support
497,support
498,support
499,support
500,support
501,support
504,support
505,support
506,support
507,support
508,support
509,support
510,support
511,support
512,support
513,support
514,support
515,support
516,support
517,support
518,support
519,support
520,support
521,support
526,support
527,support
528,support
529,support
532,support
533,support
534,support
535,support
542,support
543,support
544,support
545,support
546,support
547,support
548,support
549,support
552,support
553,support
554,support
555,support
556,support
557,support
1526,support
1527,support
1528,support
1529,support
1530,support
1531,support
1532,support
1533,support
1534,support
1535,support
1536,support
1537,support
1538,support
1539,support
1540,support
1541,support
1542,support
1543,support
1550,support
1551,support
1552,support
1553,support
1554,support
1555,support
1556,support
1557,support
1558,support
1559,support
1560,support
1561,support
1562,support
1563,support
1564,support
1565,support
1566,support
1567,support
1574,support
1575,support
1576,support
1577,support
1578,support
1579,support
1586,support
1587,support
1588,support
1589,support
1590,support
1591,support
1592,support
1593,support
1594,support
1595,support
1596,support
1597,support
1604,support
1605,support
1606,support
1607,support
1608,support
1609,support
1622,support
1623,support
1624,support
1625,support
1626,support
1627,support
1628,support
1629,support
1630,support
1631,support
1632,support
1633,support
1634,support
1635,support
1636,support
1637,support
1638,support
1639,support
1646,support
1647,support
1648,support
1649,support
1650,support
1651,support
1658,support
1659,support
1660,support
1661,support
1662,support
1663,support
1664,support
1665,support
1666,support
1667,support
1668,support
1669,support
1670,support
1671,support
1672,support
1673,support
1674,support
1675,support
1682,support
1683,support
1684,support
1685,support
1686,support
1687,support
1688,support
1689,support
1690,support
1691,support
1692,support
1693,support
1700,support
1701,support
1702,support
1703,support
1704,support
1705,support
1706,support
1707,support
1708,support
1709,support
1710,support
1711,support
1714,support
1715,support
1716,support
1717,support
1718,support
1719,support
1720,support
1721,support
1722,support
1723,support
1724,support
1725,support
1726,support
1727,support
1728,support
1729,support
1730,support
