index,set
2,support
3,support
4,support
7,support
8,support
12,support
14,support
16,support
20,support
23,support
25,support
32,support
33,support
34,support
35,support
36,support
37,support
38,support
39,support
40,support
41,support
42,support
49,support
52,support
54,support
55,support
56,support
58,support
61,support
64,support
65,support
66,support
73,support
75,support
77,support
82,support
89,support
90,support
91,support
92,support
94,support
97,support
98,support
99,support
100,support
105,support
106,support
107,support
108,support
109,support
110,support
113,support
116,support
117,support
119,support
120,support
121,support
122,support
123,support
125,support
126,support
127,support
128,support
130,support
131,support
133,support
136,support
138,support
139,support
140,support
142,support
143,support
145,support
146,support
147,support
149,support
150,support
153,support
155,support
156,support
158,support
159,support
161,support
162,support
166,support
168,support
169,support
173,support
174,support
176,support
177,support
180,support
184,support
188,support
189,support
191,support
192,support
193,support
194,support
195,support
196,support
198,support
201,support
204,support
206,support
211,support
214,support
216,support
218,support
219,support
221,support
223,support
224,support
225,support
226,support
227,support
228,support
229,support
237,support
238,support
239,support
247,support
249,support
252,support
253,support
254,support
255,support
259,support
261,support
266,support
269,support
270,support
271,support
272,support
273,support
274,support
275,support
278,support
279,support
281,support
285,support
287,support
294,support
295,support
298,support
301,support
302,support
304,support
305,support
308,support
310,support
311,support
313,support
316,support
318,support
319,support
320,support
321,support
322,support
323,support
324,support
325,support
326,support
327,support
328,support
330,support
331,support
333,support
337,support
341,support
342,support
344,support
345,support
347,support
349,support
351,support
353,support
354,support
357,support
363,support
367,support
368,support
369,support
370,support
372,support
377,support
379,support
380,support
381,support
384,support
385,support
386,support
391,support
392,support
394,support
396,support
397,support
398,support
399,support
400,support
401,support
402,support
404,support
407,support
408,support
409,support
410,support
416,support
417,support
418,support
426,support
430,support
436,support
438,support
443,support
445,support
446,support
447,support
448,support
449,support
450,support
451,support
452,support
453,support
456,support
458,support
460,support
465,support
470,support
471,support
473,support
474,support
475,support
476,support
477,support
478,support
479,support
480,support
482,support
483,support
485,support
486,support
487,support
488,support
489,support
490,support
492,support
494,support
495,support
501,support
503,support
504,support
505,support
508,support
509,support
511,support
512,support
514,support
515,support
516,support
520,support
522,support
525,support
526,support
528,support
531,support
534,support
535,support
536,support
544,support
545,support
548,support
549,support
550,support
551,support
553,support
555,support
557,support
558,support
559,support
562,support
566,support
569,support
570,support
572,support
573,support
574,support
575,support
576,support
577,support
578,support
579,support
580,support
583,support
584,support
585,support
587,support
589,support
592,support
601,support
602,support
603,support
604,support
605,support
610,support
611,support
612,support
613,support
614,support
615,support
618,support
620,support
621,support
624,support
628,support
632,support
634,support
636,support
639,support
640,support
643,support
645,support
648,support
652,support
653,support
655,support
656,support
657,support
658,support
659,support
0,query
1,query
5,query
6,query
9,query
10,query
11,query
13,query
15,query
17,query
18,query
19,query
21,query
22,query
24,query
26,query
27,query
28,query
29,query
30,query
31,query
43,query
44,query
45,query
46,query
47,query
48,query
50,query
51,query
53,query
57,query
59,query
60,query
62,query
63,query
67,query
68,query
69,query
70,query
71,query
72,query
74,query
76,query
78,query
79,query
80,query
81,query
83,query
84,query
85,query
86,query
87,query
88,query
93,query
95,query
96,query
101,query
102,query
103,query
104,query
111,query
112,query
114,query
115,query
118,query
124,query
129,query
132,query
134,query
135,query
137,query
141,query
144,query
148,query
151,query
152,query
154,query
157,query
160,query
163,query
164,query
165,query
167,query
170,query
171,query
172,query
175,query
178,query
179,query
181,query
182,query
183,query
185,query
186,query
187,query
190,query
197,query
199,query
200,query
202,query
203,query
205,query
207,query
208,query
209,query
210,query
212,query
213,query
215,query
217,query
220,query
222,query
230,query
231,query
232,query
233,query
234,query
235,query
236,query
240,query
241,query
242,query
243,query
244,query
245,query
246,query
248,query
250,query
251,query
256,query
257,query
258,query
260,query
262,query
263,query
264,query
265,query
267,query
268,query
276,query
277,query
280,query
282,query
283,query
284,query
286,query
288,query
289,query
290,query
291,query
292,query
293,query
296,query
297,query
299,query
300,query
303,query
306,query
307,query
309,query
312,query
314,query
315,query
317,query
329,query
332,query
334,query
335,query
336,query
338,query
339,query
340,query
343,query
346,query
348,query
350,query
352,query
355,query
356,query
358,query
359,query
360,query
361,query
362,query
364,query
365,query
366,query
371,query
373,query
374,query
375,query
376,query
378,query
382,query
383,query
387,query
388,query
389,query
390,query
393,query
395,query
403,query
405,query
406,query
411,query
412,query
413,query
414,query
415,query
419,query
420,query
421,query
422,query
423,query
424,query
425,query
427,query
428,query
429,query
431,query
432,query
433,query
434,query
435,query
437,query
439,query
440,query
441,query
442,query
444,query
454,query
455,query
457,query
459,query
461,query
462,query
463,query
464,query
466,query
467,query
468,query
469,query
472,query
481,query
484,query
491,query
493,query
496,query
497,query
498,query
499,query
500,query
502,query
506,query
507,query
510,query
513,query
517,query
518,query
519,query
521,query
523,query
524,query
527,query
529,query
530,query
532,query
533,query
537,query
538,query
539,query
540,query
541,query
542,query
543,query
546,query
547,query
552,query
554,query
556,query
560,query
561,query
563,query
564,query
565,query
567,query
568,query
571,query
581,query
582,query
586,query
588,query
590,query
591,query
593,query
594,query
595,query
596,query
597,query
598,query
599,query
600,query
606,query
607,query
608,query
609,query
616,query
617,query
619,query
622,query
623,query
625,query
626,query
627,query
629,query
630,query
631,query
633,query
635,query
637,query
638,query
641,query
642,query
644,query
646,query
647,query
649,query
650,query
651,query
654,query
