index,set
469,support
96,support
143,support
357,support
338,support
255,support
97,support
290,support
68,support
23,support
37,support
144,support
122,support
183,support
202,support
182,support
67,support
246,support
333,support
287,support
280,support
331,support
341,support
374,support
266,support
125,support
284,support
223,support
396,support
219,support
129,support
398,support
271,support
310,support
356,support
418,support
335,support
444,support
346,support
321,support
112,support
179,support
289,support
320,support
311,support
454,support
408,support
233,support
447,support
164,support
136,support
197,support
258,support
232,support
115,support
120,support
329,support
224,support
381,support
318,support
127,support
285,support
390,support
107,support
386,support
307,support
133,support
361,support
44,support
434,support
65,support
283,support
85,support
242,support
186,support
159,support
12,support
35,support
28,support
170,support
142,support
377,support
323,support
221,support
95,support
51,support
240,support
352,support
358,support
178,support
41,support
367,support
206,support
282,support
254,support
391,support
4,support
256,support
424,support
100,support
226,support
404,support
213,support
171,support
98,support
292,support
215,support
61,support
47,support
32,support
267,support
327,support
200,support
422,support
27,support
369,support
230,support
260,support
288,support
162,support
402,support
138,support
62,support
135,support
128,support
449,support
8,support
326,support
437,support
64,support
300,support
14,support
156,support
40,support
433,support
382,support
216,support
279,support
410,support
406,support
337,support
236,support
207,support
212,support
295,support
431,support
251,support
461,support
432,support
303,support
350,support
269,support
201,support
161,support
43,support
217,support
190,support
309,support
259,support
105,support
53,support
389,support
1,support
417,support
455,support
49,support
80,support
205,support
34,support
263,support
366,support
91,support
339,support
446,support
52,support
345,support
264,support
241,support
13,support
315,support
88,support
387,support
273,support
166,support
328,support
464,support
134,support
306,support
453,support
319,support
243,support
54,support
363,support
50,support
174,support
189,support
468,support
187,support
169,support
58,support
48,support
344,support
235,support
252,support
21,support
313,support
160,support
276,support
443,support
191,support
385,support
293,support
413,support
343,support
257,support
308,support
149,support
130,support
151,support
359,support
99,support
372,support
87,support
458,support
330,support
214,support
121,support
471,support
20,support
188,support
71,support
106,support
270,support
348,support
435,support
102,support
55,query
73,query
33,query
278,query
244,query
380,query
211,query
9,query
126,query
70,query
78,query
180,query
351,query
175,query
459,query
450,query
148,query
93,query
427,query
77,query
0,query
467,query
11,query
153,query
76,query
316,query
314,query
75,query
30,query
465,query
113,query
195,query
101,query
407,query
18,query
39,query
384,query
466,query
155,query
397,query
325,query
291,query
368,query
430,query
332,query
208,query
298,query
72,query
90,query
261,query
416,query
301,query
353,query
393,query
265,query
302,query
79,query
470,query
63,query
452,query
137,query
409,query
463,query
176,query
82,query
392,query
371,query
456,query
425,query
347,query
414,query
15,query
415,query
365,query
19,query
304,query
441,query
56,query
204,query
117,query
312,query
272,query
299,query
401,query
25,query
420,query
342,query
286,query
42,query
192,query
239,query
132,query
250,query
220,query
203,query
423,query
22,query
451,query
46,query
248,query
124,query
462,query
168,query
57,query
419,query
210,query
395,query
24,query
17,query
66,query
172,query
86,query
31,query
84,query
324,query
181,query
140,query
317,query
448,query
94,query
394,query
131,query
277,query
354,query
245,query
262,query
104,query
438,query
173,query
5,query
116,query
45,query
16,query
436,query
376,query
3,query
193,query
60,query
110,query
375,query
237,query
29,query
297,query
154,query
26,query
7,query
429,query
108,query
253,query
440,query
118,query
114,query
209,query
157,query
247,query
349,query
400,query
305,query
370,query
294,query
421,query
141,query
411,query
439,query
249,query
355,query
185,query
383,query
109,query
457,query
145,query
231,query
152,query
445,query
388,query
83,query
322,query
165,query
227,query
199,query
74,query
426,query
228,query
218,query
119,query
412,query
281,query
222,query
334,query
196,query
405,query
403,query
362,query
460,query
36,query
139,query
364,query
379,query
274,query
268,query
59,query
111,query
225,query
238,query
6,query
340,query
428,query
158,query
150,query
177,query
184,query
10,query
360,query
103,query
81,query
38,query
296,query
167,query
442,query
275,query
198,query
373,query
229,query
336,query
194,query
89,query
146,query
163,query
234,query
147,query
2,query
92,query
378,query
69,query
399,query
123,query
