index,set
27020,support
61072,support
61067,support
61064,support
61060,support
75101,support
75107,support
24073,support
75104,support
24079,support
24084,support
75090,support
75094,support
61065,support
75114,support
61070,support
24082,support
24065,support
61071,support
75121,support
24072,support
75087,support
24068,support
75105,support
75088,support
75116,support
75082,support
75115,support
24064,support
24081,support
75086,support
75091,support
75079,support
24070,support
24086,support
75100,support
24078,support
24083,support
75117,support
75118,support
61063,support
27016,query
61061,query
75089,query
75106,query
75084,query
75098,query
24085,query
75081,query
24077,query
75083,query
61066,query
24063,query
27015,query
24066,query
75119,query
24075,query
61068,query
24080,query
75097,query
61062,query
75099,query
27019,query
61073,query
75103,query
27018,query
24074,query
24062,query
75102,query
75093,query
61069,query
24076,query
75092,query
27017,query
24059,query
24071,query
61074,query
75120,query
24087,query
24069,query
75080,query
24067,query
75096,query
75095,query
