index,set
13399,support
12038,support
13392,support
82156,support
67683,support
13401,support
67689,support
13409,support
13406,support
67687,support
79421,support
8205,support
13400,support
13397,support
13407,support
82157,support
13404,support
67668,support
8206,support
67680,support
12036,support
67673,support
13395,support
12043,support
67681,support
67677,support
12037,support
12040,support
12044,query
13391,query
67669,query
13396,query
67676,query
67672,query
13393,query
13408,query
13394,query
12035,query
67675,query
67684,query
13389,query
13398,query
67686,query
13405,query
67670,query
13388,query
67674,query
67685,query
13403,query
67688,query
13402,query
13390,query
12039,query
67679,query
12046,query
12041,query
12042,query
67678,query
12045,query
