index,set
49397,support
50273,support
68287,support
52570,support
47042,support
59233,support
61773,support
10014,support
65231,support
76561,support
69088,support
42055,support
61772,support
51750,support
47032,support
65213,support
61778,support
47050,support
58512,support
84556,support
77761,support
81501,support
42058,support
68295,support
77789,support
47045,support
50550,support
65237,support
8738,support
61270,support
68289,support
52628,support
45697,support
76196,support
49377,support
47043,support
47044,support
49382,support
81551,support
50278,support
45684,support
74633,support
81550,support
49385,support
84576,support
59063,support
69092,support
50568,support
76562,support
72327,support
42034,support
81521,support
61268,support
42052,support
81555,support
42062,support
52625,support
51747,support
49386,support
42041,support
81578,support
59157,support
50288,support
81458,support
74580,support
42059,support
69104,support
81467,support
81566,support
61269,support
51667,support
76178,support
81500,support
45693,support
42039,support
50575,support
81484,support
51668,support
8770,support
42053,support
52571,support
49394,support
50563,support
42071,support
42046,support
52630,support
84571,support
68282,support
8735,support
52581,support
81457,support
74579,support
42057,support
76190,support
50581,support
52588,support
8772,support
81470,support
45696,support
68296,support
42076,support
72311,support
47036,support
76550,support
27837,support
59177,support
39375,support
81576,support
50631,support
42065,support
76183,support
61774,support
50578,support
59187,support
81552,support
27836,support
51673,support
69101,support
42035,support
51675,support
72285,support
77695,support
74638,support
42047,support
77860,support
84570,support
8741,support
81556,support
68293,support
39371,support
47031,support
81466,support
50623,support
39374,support
50272,support
51682,support
42063,support
51689,support
49379,support
50283,support
76201,support
8771,support
69086,support
77750,support
52585,support
52629,support
65230,support
68281,support
50639,support
50277,support
69089,support
42061,support
39382,support
49381,support
42060,support
65214,support
50642,support
58911,support
10767,support
42036,support
39370,support
52586,support
50282,support
81560,support
52619,support
69085,support
51758,support
68286,support
72298,support
84572,support
72323,support
50274,support
47038,support
27841,support
52620,support
81575,support
84597,support
81530,support
8777,support
50612,support
51746,support
50638,support
81579,support
81558,support
59155,support
76554,support
73565,support
77790,support
51762,support
74591,support
81456,support
42045,support
76185,support
10768,support
42064,support
49378,support
68280,support
72286,support
52627,support
81580,support
65232,support
49387,support
73562,support
74637,support
81471,support
50281,support
65217,support
72328,support
52616,support
50287,support
52604,support
76165,support
81465,support
10760,support
77778,support
50556,support
52603,support
49392,support
74598,support
65223,support
76134,support
69108,support
76202,support
76186,support
42066,support
49391,support
47040,support
47046,support
74616,support
50292,support
49389,support
52618,support
81562,support
69090,support
50286,support
8737,support
8769,support
42051,support
81469,support
76203,support
73571,support
52617,support
49380,support
8773,support
50276,support
50567,support
61777,support
52579,support
52591,support
72329,support
65229,support
47048,support
69093,query
52613,query
61267,query
84559,query
76184,query
58817,query
42033,query
50628,query
84577,query
58920,query
81565,query
47041,query
50625,query
65226,query
42042,query
50574,query
42070,query
76224,query
84557,query
52615,query
50566,query
42074,query
65238,query
76197,query
65212,query
77842,query
52592,query
52590,query
52607,query
42044,query
69095,query
42068,query
61776,query
74635,query
10764,query
73564,query
50624,query
8740,query
42040,query
10763,query
84558,query
65219,query
51683,query
76552,query
50579,query
58914,query
50626,query
76155,query
50573,query
84565,query
51684,query
72287,query
50646,query
45681,query
52582,query
59193,query
50279,query
42056,query
49383,query
50618,query
50605,query
49388,query
45695,query
47033,query
51759,query
77859,query
52600,query
76525,query
65234,query
8781,query
76182,query
47037,query
10762,query
49396,query
52602,query
50548,query
26988,query
42072,query
73563,query
50627,query
52577,query
47039,query
26991,query
81483,query
81499,query
39379,query
84573,query
26989,query
50630,query
59182,query
27839,query
51669,query
77850,query
77788,query
74597,query
65235,query
61775,query
52608,query
10761,query
50289,query
52601,query
27835,query
69103,query
49390,query
52593,query
51685,query
26990,query
65239,query
65236,query
52587,query
52598,query
74617,query
77848,query
27838,query
69099,query
81561,query
10765,query
47029,query
65215,query
42038,query
72307,query
84555,query
49395,query
81581,query
74599,query
50285,query
49384,query
10015,query
49393,query
65224,query
52583,query
81496,query
52599,query
42069,query
10027,query
59227,query
50280,query
76191,query
76221,query
51672,query
72303,query
84589,query
81557,query
72299,query
50629,query
52614,query
42073,query
50564,query
50290,query
47049,query
65216,query
72318,query
50640,query
84579,query
65225,query
74634,query
52576,query
77765,query
50580,query
77762,query
77777,query
74641,query
69105,query
52568,query
50275,query
42067,query
74646,query
72293,query
42037,query
77764,query
84560,query
52569,query
47030,query
52578,query
76222,query
13937,query
69100,query
77853,query
69087,query
8783,query
8780,query
81482,query
72302,query
39380,query
77858,query
69091,query
69107,query
45682,query
68294,query
61271,query
42043,query
47047,query
76551,query
84578,query
8782,query
76195,query
42049,query
42050,query
52611,query
69094,query
27840,query
51674,query
69102,query
50291,query
50572,query
69106,query
68288,query
68292,query
77852,query
76223,query
52612,query
84594,query
74578,query
8739,query
77851,query
72322,query
39368,query
42054,query
76177,query
81567,query
52584,query
45686,query
65218,query
77849,query
8779,query
52623,query
39367,query
8736,query
81495,query
47035,query
10759,query
81520,query
76139,query
42077,query
47034,query
39366,query
51745,query
77763,query
45685,query
39369,query
50271,query
52610,query
42075,query
39381,query
