index,set
82705,support
68052,support
66587,support
82710,support
66637,support
66621,support
78345,support
66646,support
66626,support
66647,support
66631,support
78338,support
78342,support
12716,support
66629,support
82702,support
78341,support
78344,support
66571,support
82708,support
66642,support
12730,support
68082,support
68062,support
47708,support
66596,support
68066,support
73207,support
12718,support
51079,support
72806,support
51082,support
28032,support
66574,support
68075,support
68064,support
12731,support
68046,support
28034,support
66616,support
68087,support
80026,support
68049,support
66600,support
66635,support
72798,support
68060,support
66583,support
12713,support
80028,support
72803,support
68092,support
80059,support
66576,support
80058,support
51085,support
47705,support
28029,support
73185,support
66611,support
66604,support
72799,support
68081,support
66624,support
80055,support
68080,support
80060,support
66608,support
66639,support
82694,support
28033,support
66606,support
82693,support
66577,support
68051,support
68086,support
12689,support
66632,support
82695,support
66572,support
12710,support
51084,support
80032,support
49742,support
66586,support
12692,support
82700,support
66592,support
72871,support
68067,support
66588,support
12717,support
12707,support
68069,support
68070,support
28031,support
68063,support
66609,support
66579,support
82707,support
66614,support
66619,support
80053,support
73174,support
66627,support
66605,support
12686,support
72860,support
82701,support
80020,support
12733,support
82704,support
72838,support
78339,support
72802,support
80052,support
66603,support
80021,support
80030,support
68096,support
47709,support
68088,support
66613,support
68085,support
66620,support
12708,support
68084,support
12690,support
80054,support
12715,support
78334,support
66617,support
66590,support
12691,support
66618,support
12728,support
80057,support
66644,support
78333,support
66630,support
80036,support
66601,support
68054,support
66640,support
12696,support
68078,support
80034,support
80033,support
12687,support
66612,support
82711,query
66628,query
72903,query
78335,query
47707,query
72800,query
47706,query
80031,query
12695,query
68048,query
72804,query
68076,query
12688,query
66615,query
49744,query
12706,query
80024,query
66578,query
80022,query
82706,query
68055,query
72816,query
12709,query
68068,query
66595,query
68057,query
78349,query
80027,query
49748,query
12693,query
12734,query
66598,query
68072,query
68083,query
12712,query
72805,query
82709,query
82699,query
72925,query
66575,query
68079,query
80029,query
68094,query
72808,query
78340,query
12727,query
68058,query
68095,query
68090,query
72849,query
72827,query
28036,query
82698,query
47710,query
66594,query
12729,query
82703,query
78337,query
72796,query
72797,query
49746,query
80023,query
12699,query
66607,query
12697,query
68077,query
28035,query
66580,query
68053,query
73163,query
12694,query
68061,query
82697,query
72892,query
72801,query
66623,query
80063,query
66585,query
12698,query
66591,query
80062,query
28037,query
66638,query
28030,query
78336,query
68074,query
78346,query
49745,query
49743,query
12732,query
68089,query
51081,query
47712,query
68071,query
66643,query
78347,query
72809,query
66625,query
66645,query
80025,query
68091,query
66634,query
80061,query
66633,query
72914,query
47711,query
66610,query
78343,query
51086,query
73196,query
66573,query
80035,query
68093,query
80056,query
68059,query
66593,query
68050,query
66589,query
66622,query
49747,query
66602,query
66597,query
66584,query
12719,query
12714,query
66599,query
82712,query
82696,query
66581,query
78348,query
51083,query
66641,query
72807,query
66636,query
51080,query
66582,query
