index,set
83986,support
12894,support
83976,support
83977,support
84060,support
84044,support
12889,support
19079,support
12845,support
12838,support
83978,support
84043,support
12837,support
12814,support
73336,support
84056,support
19082,support
12895,support
12785,support
66295,support
12841,support
32489,support
57020,support
32485,support
12884,support
84051,support
12828,support
12835,support
12843,support
83999,support
84052,support
83998,support
83973,support
84018,support
83989,support
84015,support
57028,support
13677,support
12836,support
80415,support
84006,support
32492,support
12810,support
84064,support
84014,support
12800,support
83995,support
12811,support
12852,support
19070,support
84048,support
12804,support
19069,support
84036,support
84000,support
12859,support
84009,support
12840,support
84013,support
66300,support
83996,support
12888,support
12879,support
12860,support
73340,support
19073,support
84038,support
19076,support
66287,support
66294,support
84007,support
66307,support
12824,support
12794,support
66296,support
84033,support
12864,support
12792,support
83974,support
12904,support
12897,support
66298,support
12802,support
84040,support
66290,support
19080,support
13675,support
84012,support
12827,support
12856,support
12875,support
84002,support
12812,support
12795,support
84003,support
66310,support
57019,support
13678,support
66313,support
83979,support
76281,support
84061,support
12883,support
84001,support
84039,support
12788,support
12844,support
84024,support
12791,support
12902,support
12787,support
12820,support
12905,support
12880,support
12882,support
83983,support
57031,support
84035,support
13676,support
80418,support
84025,support
12886,support
84062,support
19078,support
12823,support
66308,support
84066,support
84031,support
83984,support
12892,support
12848,support
57021,support
84011,support
84045,support
84041,support
66309,support
66301,support
80414,support
83980,support
12834,support
12874,support
66291,support
83982,support
66305,support
12865,support
12798,support
12793,support
83991,query
19081,query
12866,query
12830,query
32488,query
12878,query
13680,query
13679,query
80416,query
83972,query
73335,query
83985,query
84005,query
83997,query
12826,query
80419,query
19072,query
84028,query
12857,query
12817,query
84049,query
12900,query
66306,query
57026,query
12815,query
12891,query
12877,query
12898,query
66297,query
57027,query
84023,query
84065,query
57024,query
12816,query
32487,query
84058,query
73339,query
19077,query
13681,query
66292,query
12881,query
83988,query
72330,query
84008,query
66311,query
12832,query
12893,query
84034,query
12839,query
73338,query
12825,query
12876,query
19075,query
83993,query
19071,query
12822,query
12799,query
12847,query
84010,query
84053,query
73337,query
12803,query
57023,query
12906,query
12784,query
12896,query
84059,query
84046,query
12833,query
12850,query
12899,query
12846,query
66289,query
73334,query
19083,query
66302,query
12789,query
84055,query
66288,query
12818,query
12854,query
66312,query
32486,query
12821,query
12861,query
66286,query
32491,query
12855,query
12786,query
12862,query
12842,query
57025,query
84030,query
12858,query
83990,query
84026,query
84037,query
84032,query
12796,query
12801,query
80417,query
84057,query
12808,query
66304,query
84050,query
12890,query
83987,query
12849,query
57022,query
84016,query
12819,query
66299,query
83975,query
12797,query
12853,query
12813,query
84027,query
12809,query
84042,query
84054,query
19074,query
12807,query
66314,query
12831,query
84019,query
12885,query
83992,query
84022,query
66293,query
84004,query
66303,query
12806,query
12851,query
12805,query
84020,query
32490,query
57030,query
84063,query
84017,query
12863,query
57029,query
32493,query
12887,query
12901,query
84047,query
72333,query
12903,query
83994,query
73333,query
