index,set
77916,support
50223,support
81327,support
41965,support
52197,support
15507,support
82608,support
68954,support
82614,support
41942,support
49603,support
79463,support
82954,support
64750,support
68189,support
51498,support
80276,support
52183,support
51519,support
63038,support
40940,support
16834,support
82207,support
82952,support
16838,support
77904,support
77905,support
40941,support
80296,support
52184,support
64747,support
66325,support
78964,support
49619,support
63028,support
42028,support
82610,support
77639,support
41938,support
82625,support
41923,support
68177,support
42023,support
64776,support
41981,support
68949,support
80290,support
41926,support
15497,support
41954,support
77903,support
82622,support
64759,support
41931,support
80300,support
66318,support
68946,support
41939,support
77930,support
78968,support
49601,support
63021,support
11762,support
82953,support
80303,support
16836,support
63033,support
81330,support
68154,support
80307,support
63019,support
66322,support
50218,support
41917,support
50229,support
68951,support
50206,support
9742,support
80309,support
80297,support
78799,support
41919,support
63035,support
15511,support
64769,support
40936,support
77638,support
82609,support
40930,support
50204,support
52203,support
51522,support
68971,support
52178,support
80294,support
12173,support
64711,support
47079,support
46163,support
41966,support
68169,support
64714,support
49615,support
79461,support
40928,support
82950,support
64743,support
64721,support
82607,support
52201,support
64739,support
47078,support
77635,support
41956,support
64722,support
64715,support
68962,support
41980,support
41934,support
81332,support
51503,support
63007,support
79469,support
42021,support
82201,support
66315,support
82628,support
82210,support
68952,support
79480,support
52175,support
49599,support
68148,support
68955,support
82206,support
68165,support
64884,support
79459,support
63008,support
68393,support
64886,support
42016,support
64771,support
41912,support
51505,support
80277,support
64741,support
63025,support
9741,support
81326,support
79424,support
68973,support
64744,support
47056,support
66323,support
47058,support
66321,support
50211,support
60442,support
77932,support
79448,support
64892,support
47060,support
51518,support
52167,support
50226,support
78944,support
64719,support
68168,support
64756,support
79440,support
68966,support
52192,support
42019,support
82621,support
41915,support
64745,support
63011,support
41987,support
9735,support
79456,support
40925,support
49613,support
41993,support
11771,support
50222,support
77931,support
68175,support
11765,support
41918,support
50250,support
42011,support
64882,support
52174,support
77934,support
52179,support
41930,support
64734,support
49598,support
80310,support
41921,support
77929,support
40927,support
52168,support
41953,support
12178,support
40945,support
60451,support
68188,support
51500,support
79126,support
79466,support
63000,support
64729,support
63017,support
78965,support
66328,support
40943,support
12172,support
80280,support
50236,support
68405,support
68953,support
15502,support
63037,support
68173,support
51516,support
41935,support
52200,support
63024,support
79478,support
82623,support
68162,support
82616,support
79438,support
79457,support
41925,support
52210,support
77906,support
64760,support
15503,support
68945,support
49616,support
64885,support
51506,support
41990,support
40924,support
77920,support
41991,support
15512,support
77624,support
81348,support
41988,support
82619,support
47076,support
79439,support
64758,support
15483,support
68402,support
80295,support
68392,support
47059,support
40938,support
66329,support
51515,support
41961,support
51334,support
68186,support
63036,support
12176,support
15481,support
77634,support
77626,support
78690,support
42004,support
15485,support
51517,support
79442,support
78807,support
80305,support
82212,support
47073,support
80302,support
15477,support
41960,support
41945,support
42031,support
41964,support
15494,support
15488,support
49605,support
63034,support
64720,support
41970,support
77924,support
64723,support
47082,support
63014,support
68974,support
82208,support
82955,support
82620,support
51520,support
41940,support
79445,support
82947,support
64764,support
80273,support
50217,support
41963,support
50251,support
51513,support
41911,support
60450,support
52176,support
9743,support
47069,support
68166,support
40929,support
64708,support
64731,support
51336,support
41941,support
68408,support
51493,support
63026,support
66330,support
79454,support
51337,support
64767,support
79443,support
42006,support
11758,support
15482,support
51511,support
68414,support
68968,support
79453,support
68401,support
49612,support
79423,support
64712,support
79462,support
52189,support
40946,support
79479,support
68397,support
63006,support
41998,support
82626,support
79429,support
15508,support
79449,support
81325,support
51502,support
15473,support
81329,support
68399,support
15495,support
63023,support
52205,support
50241,support
52186,support
64705,support
41979,support
17940,support
64749,support
41994,support
77913,support
82209,support
68404,support
15501,support
82604,support
52208,support
64738,support
51340,support
46161,support
63004,support
64768,support
17943,support
77625,support
52165,support
40933,support
80279,support
68400,support
77632,support
15479,support
42018,support
64737,support
79441,support
77935,support
82196,support
82629,support
68153,support
51335,support
60443,support
80283,support
77915,support
47055,support
50220,support
50228,support
66316,support
41959,support
64717,support
50237,support
52196,support
15475,support
81324,support
80312,support
42000,support
46157,support
41922,support
68171,support
77636,support
41929,support
51508,support
68149,support
51495,support
68960,support
51514,support
81322,support
40949,support
49628,support
79430,support
79431,support
42008,support
51523,support
40926,support
41969,support
51499,support
82627,support
41989,support
64735,support
63020,support
11774,support
82958,support
50233,query
52195,query
52172,query
68394,query
9676,query
42026,query
52194,query
82949,query
47063,query
50232,query
82624,query
47072,query
49606,query
41932,query
66324,query
64773,query
47066,query
77917,query
64763,query
52206,query
68178,query
52209,query
68179,query
79472,query
60445,query
40939,query
82203,query
63002,query
41936,query
63001,query
63032,query
80308,query
78803,query
15504,query
17938,query
41928,query
15499,query
79425,query
78806,query
40950,query
12177,query
47051,query
81323,query
79433,query
64709,query
68391,query
50245,query
78801,query
63005,query
15510,query
9669,query
15509,query
49604,query
11766,query
78800,query
15498,query
41950,query
77911,query
64891,query
50243,query
68176,query
52202,query
47062,query
77937,query
9670,query
68159,query
63039,query
15491,query
60444,query
52188,query
68950,query
64728,query
42007,query
47080,query
17944,query
82205,query
64748,query
47052,query
47081,query
52187,query
50221,query
11763,query
79127,query
50210,query
50252,query
12174,query
80284,query
79447,query
68956,query
68185,query
80306,query
80272,query
41946,query
68407,query
68967,query
41933,query
66317,query
80292,query
64706,query
49618,query
41957,query
64883,query
64733,query
49627,query
63030,query
79474,query
68150,query
68174,query
51504,query
15496,query
77912,query
68969,query
60448,query
9668,query
64889,query
68160,query
79428,query
81333,query
82618,query
82611,query
82957,query
82198,query
79464,query
64761,query
52185,query
78802,query
47054,query
68965,query
80304,query
42017,query
68156,query
82605,query
77923,query
63031,query
77641,query
82602,query
42010,query
82951,query
82200,query
68164,query
77908,query
68152,query
41952,query
41948,query
64716,query
40935,query
80291,query
52180,query
63013,query
15486,query
42003,query
49620,query
16837,query
40947,query
79452,query
81321,query
77640,query
49600,query
52181,query
66319,query
66327,query
80271,query
12175,query
68413,query
50213,query
50247,query
63012,query
40934,query
11761,query
82211,query
63003,query
80274,query
40944,query
41920,query
11770,query
50212,query
81331,query
81334,query
50253,query
46160,query
51512,query
64751,query
77633,query
41958,query
78966,query
11767,query
77925,query
77910,query
49611,query
68398,query
80301,query
15474,query
52166,query
63009,query
46162,query
79450,query
52193,query
64890,query
47071,query
64704,query
81347,query
79476,query
80282,query
52173,query
68410,query
41999,query
68396,query
79477,query
81349,query
80278,query
15487,query
11764,query
49617,query
68947,query
16832,query
41978,query
50234,query
68161,query
64725,query
77921,query
64713,query
15484,query
82613,query
64710,query
52177,query
68155,query
79125,query
80313,query
63027,query
9675,query
40931,query
79434,query
17942,query
52198,query
51521,query
64772,query
41995,query
15492,query
68172,query
64742,query
68970,query
47074,query
78689,query
16835,query
77909,query
42027,query
64887,query
82948,query
68151,query
82617,query
15500,query
79451,query
52164,query
47077,query
77922,query
49614,query
50227,query
77628,query
68963,query
68415,query
47061,query
42009,query
50207,query
78805,query
68959,query
79475,query
51524,query
15480,query
63040,query
52169,query
80286,query
78694,query
66326,query
41992,query
77918,query
47057,query
80299,query
68412,query
42005,query
79436,query
68409,query
79427,query
9673,query
68948,query
82612,query
49626,query
41949,query
49602,query
68167,query
68961,query
78967,query
63015,query
82603,query
68157,query
50242,query
79467,query
64770,query
47067,query
51509,query
50215,query
78691,query
68170,query
11768,query
79458,query
15506,query
80311,query
64746,query
64757,query
79468,query
42029,query
11772,query
46159,query
41982,query
41996,query
9737,query
77642,query
80298,query
82195,query
11760,query
64718,query
41927,query
64762,query
79124,query
40932,query
77938,query
64881,query
64755,query
51494,query
9738,query
78692,query
50205,query
63018,query
51501,query
64893,query
79432,query
82946,query
51497,query
41997,query
17939,query
79435,query
79470,query
60449,query
77907,query
68403,query
60446,query
64736,query
50239,query
50216,query
80288,query
78693,query
16833,query
50224,query
42024,query
47053,query
64774,query
68958,query
47070,query
77919,query
41962,query
80281,query
60452,query
47068,query
51507,query
82615,query
80289,query
49610,query
64727,query
64732,query
49608,query
77927,query
79426,query
52182,query
41967,query
77933,query
63022,query
77928,query
40937,query
41943,query
64752,query
9744,query
68163,query
50209,query
78808,query
51510,query
82943,query
68964,query
47064,query
80285,query
41944,query
64775,query
52191,query
82202,query
79128,query
51338,query
82956,query
68957,query
77936,query
11773,query
68972,query
79465,query
42022,query
77629,query
15472,query
15505,query
80270,query
79460,query
51492,query
78804,query
51496,query
49625,query
41968,query
46158,query
82204,query
49609,query
82606,query
79455,query
15476,query
64766,query
40948,query
77627,query
82944,query
52207,query
82945,query
64724,query
79437,query
41947,query
68158,query
64888,query
52204,query
41916,query
9736,query
64730,query
42013,query
41914,query
79422,query
64777,query
40942,query
50231,query
64707,query
42032,query
63029,query
79444,query
60447,query
68411,query
12171,query
49607,query
68187,query
49596,query
82213,query
42030,query
64765,query
63010,query
9739,query
17945,query
79446,query
77914,query
9740,query
68395,query
42012,query
66320,query
64726,query
11769,query
64754,query
41924,query
9674,query
78963,query
15489,query
41937,query
81346,query
50238,query
42025,query
49597,query
15490,query
9671,query
80287,query
41951,query
79473,query
11759,query
11757,query
47065,query
50246,query
42002,query
41913,query
17941,query
52170,query
64740,query
51339,query
63016,query
82197,query
47075,query
42020,query
68406,query
64753,query
49624,query
80275,query
77926,query
82199,query
77637,query
80293,query
42001,query
41955,query
52199,query
79471,query
81328,query
52171,query
52190,query
