index,set
47060,support
63022,support
66321,support
41970,support
80306,support
15471,support
75959,support
40925,support
50211,support
82207,support
47065,support
15494,support
79473,support
15475,support
50245,support
15490,support
51335,support
52173,support
52194,support
81330,support
75987,support
64738,support
63030,support
41959,support
15487,support
64741,support
68164,support
82615,support
41960,support
79476,support
68970,support
75967,support
75989,support
47075,support
77909,support
49620,support
17944,support
80295,support
50231,support
81323,support
77624,support
78968,support
80294,support
77919,support
68407,support
79453,support
41937,support
41988,support
52201,support
77937,support
41918,support
17938,support
42023,support
64725,support
77904,support
64891,support
82197,support
75968,support
50209,support
15484,support
63027,support
50251,support
79424,support
15508,support
68414,support
47076,support
15509,support
64736,support
75988,support
64745,support
68165,support
75925,support
77905,support
80312,support
68947,support
64754,support
80297,support
79449,support
79469,support
47069,support
9674,support
52205,support
81333,support
11771,support
63034,support
68166,support
41955,support
63039,support
41949,support
64731,support
68966,support
68399,support
52197,support
80291,support
11763,support
46157,support
41999,support
47071,support
47051,support
79479,support
50246,support
75956,support
47057,support
79432,support
49627,support
42000,support
80305,support
77929,support
50226,support
15505,support
41947,support
64744,support
75936,support
46159,support
82629,support
68956,support
41982,support
9735,support
77633,support
49612,support
60443,support
15479,support
15501,support
68963,support
40932,support
17941,support
75986,support
52178,support
78801,support
68400,support
15477,support
79422,support
82628,support
50206,support
82958,support
63025,support
68152,support
66322,support
75949,support
64712,support
77935,support
40947,support
82618,support
15506,support
12175,support
75964,support
82943,support
52180,support
66323,support
80272,support
51495,support
49596,support
9673,support
52210,support
68951,support
64760,support
51523,support
68960,support
63033,support
15481,support
79430,support
80301,support
49602,support
11772,support
78966,support
68950,support
64756,support
80274,support
64708,support
52193,support
68154,support
77922,support
52209,support
66327,support
15496,support
42016,support
82603,support
79464,support
68401,support
51521,support
68172,support
49614,support
42030,support
12178,support
17945,support
51515,support
9739,support
79439,support
15498,support
51519,support
75983,support
41944,support
49628,support
50223,support
41994,support
11758,support
41926,support
64887,support
63037,support
42028,support
68188,support
78690,support
64727,support
77641,support
82605,support
42026,support
42032,support
77629,support
79466,support
50205,support
80302,support
41946,support
41923,support
47062,support
41964,support
15510,support
80313,support
42009,support
75961,support
79442,support
66329,support
68150,support
77640,support
52175,support
40939,support
41996,support
41962,support
47073,support
64716,support
41941,support
68173,support
12172,support
42018,support
16838,support
81349,support
68395,support
82951,support
82206,support
52191,support
40927,support
66320,support
79423,support
17943,support
82201,support
64719,support
79426,support
68945,support
64770,support
41927,support
82202,support
77913,support
82621,support
75982,support
63032,support
81325,support
78944,support
50227,support
51507,support
15507,support
52181,support
40942,support
41943,support
77920,support
51516,support
75944,support
11767,support
41991,support
46163,support
51508,support
64892,support
15511,support
78799,support
41957,support
64726,support
68168,support
52190,support
75928,support
79480,support
50234,support
77930,support
68962,support
64775,support
79463,support
60452,support
75981,support
75973,support
82200,support
77926,support
52208,support
79444,support
82602,support
47074,support
60447,support
68186,support
77925,support
82212,support
15476,support
64751,support
80309,support
63035,support
42010,support
52166,support
82208,support
52192,support
60451,support
79124,support
16833,support
63006,support
80285,support
41992,support
12174,support
41930,support
51494,support
50252,support
64706,support
79467,support
68412,support
50213,support
68972,support
64714,support
15504,support
64759,support
40946,support
42029,support
64886,support
52195,support
40940,support
82956,support
77908,support
51504,support
82622,support
82606,support
79125,support
52188,support
40950,support
9675,support
75952,support
41948,support
82607,support
77634,support
77903,support
79434,support
77915,support
9738,support
49617,support
40930,support
52168,support
51513,support
79457,support
77636,support
47054,support
15474,support
52186,support
64707,support
68156,support
51500,support
75975,support
64730,support
64718,support
41912,support
80311,support
50222,support
49625,support
68406,support
81347,support
41938,support
64773,support
47063,support
63040,support
64749,support
64765,support
41965,support
81329,support
51337,support
52177,support
75946,support
77635,support
79433,support
15483,support
68391,support
63031,support
42020,support
51524,support
64753,support
68413,support
79459,support
49624,support
68410,support
79461,support
16832,support
81328,support
51517,support
68175,support
64739,support
9742,support
82947,support
40938,support
16831,support
81327,support
41952,support
75974,support
63005,support
64710,support
64746,support
47080,support
77934,support
77907,support
82954,support
75966,support
82210,support
40926,support
49608,support
11770,support
82608,support
75934,support
17942,support
63020,support
79447,support
81348,support
79472,support
51506,support
68405,support
77637,support
77936,support
49613,support
50250,support
50253,support
81334,support
47055,support
52183,support
64893,support
64763,support
42008,support
51505,support
52170,support
64724,support
52189,support
64743,support
41968,support
50242,support
42031,support
75933,support
17939,support
51510,support
52198,support
11764,support
63003,support
77938,support
63009,support
68155,support
42022,support
41945,support
64734,support
40931,support
63002,support
52174,support
46162,support
80277,support
11761,support
42021,support
82955,support
9737,query
77906,query
41917,query
64713,query
41919,query
77912,query
51518,query
47064,query
40934,query
82213,query
77918,query
68149,query
64768,query
63018,query
80276,query
64776,query
82957,query
41935,query
49626,query
79462,query
75951,query
64772,query
63038,query
82211,query
41987,query
82626,query
75990,query
64890,query
52169,query
50241,query
42003,query
50215,query
50229,query
82199,query
82945,query
64755,query
63036,query
41940,query
15495,query
52203,query
52164,query
52172,query
77627,query
81322,query
9740,query
47066,query
82948,query
82205,query
15491,query
41963,query
82949,query
51520,query
41979,query
41980,query
78806,query
60444,query
15493,query
79126,query
41911,query
9741,query
49600,query
66319,query
68961,query
80304,query
77914,query
