index,set
11811,support
11076,support
72238,support
22511,support
59792,support
72231,support
45426,support
68142,support
68366,support
22525,support
11061,support
68136,support
72235,support
22519,support
11786,support
68374,support
11089,support
72232,support
68513,support
11069,support
68519,support
67408,support
11835,support
68517,support
60172,support
27862,support
64801,support
64807,support
11834,support
64811,support
83866,support
15717,support
11798,support
68390,support
64803,support
11815,support
11803,support
68518,support
11779,support
59791,support
68352,support
68361,support
11059,support
11082,support
15710,support
72237,support
14274,support
27854,support
62705,support
15700,support
11828,support
11091,support
72230,support
11836,support
68368,support
72279,support
68388,support
72223,support
11071,support
11079,support
13561,support
68364,support
64795,support
15708,support
13560,support
11821,support
64806,support
11780,support
67409,support
68370,support
11081,support
11083,support
15720,support
27864,support
11792,support
68139,support
11837,support
68512,support
11814,support
60173,support
82799,support
11095,support
68384,support
11784,support
15713,support
45557,support
64809,support
11802,support
15702,support
68372,support
11797,support
15706,support
64793,support
22526,support
52477,support
15718,support
68369,support
45425,support
15716,support
13562,support
27850,support
11092,support
11783,support
59793,support
11775,support
11791,support
11794,support
11077,support
68387,support
11823,support
11799,support
11097,support
11829,support
11789,support
68358,support
11084,support
27847,support
22516,support
14271,support
11843,support
11093,support
60175,support
68354,support
15696,support
15705,support
11060,support
64800,support
11830,support
11800,support
11064,support
45427,support
15704,support
27857,support
11820,support
22512,support
68511,support
45555,support
72217,support
67407,support
15722,support
11809,support
68371,support
11066,support
22522,support
27845,support
68350,support
15697,support
60170,support
62706,support
72219,support
72281,support
11058,support
72228,support
11067,support
72220,support
72277,support
11822,support
72226,support
27851,support
68355,support
11778,support
82798,support
64810,support
68382,support
11078,support
11841,support
64796,support
52478,support
27866,support
27848,support
68349,support
11819,support
15711,support
45424,query
11065,query
11833,query
11810,query
82800,query
68385,query
72218,query
11818,query
15698,query
72236,query
11807,query
45938,query
72227,query
68386,query
68359,query
68135,query
11827,query
45936,query
11787,query
11075,query
82796,query
64802,query
72283,query
27868,query
64794,query
27843,query
68362,query
22518,query
64813,query
11832,query
11838,query
11816,query
11812,query
15701,query
68363,query
11790,query
11808,query
11831,query
11801,query
67412,query
15723,query
27855,query
11088,query
72224,query
68357,query
15709,query
59794,query
68351,query
27844,query
11057,query
64799,query
64805,query
68373,query
11070,query
11086,query
60171,query
22520,query
68367,query
11776,query
15715,query
11795,query
27853,query
52475,query
64808,query
15703,query
72222,query
27858,query
11072,query
11087,query
15712,query
45937,query
11805,query
27849,query
68141,query
11096,query
67413,query
68389,query
15721,query
67410,query
64797,query
15724,query
11840,query
22523,query
13563,query
11080,query
27867,query
72216,query
14273,query
14275,query
62704,query
68377,query
67414,query
11068,query
27865,query
15719,query
68521,query
11782,query
64804,query
62703,query
72282,query
68356,query
11813,query
15714,query
15694,query
45556,query
82797,query
68140,query
72225,query
11090,query
11825,query
15695,query
68353,query
15707,query
72278,query
45429,query
52476,query
72280,query
22514,query
68379,query
68515,query
45422,query
27856,query
60169,query
68383,query
11839,query
27846,query
60174,query
11842,query
68506,query
68380,query
15699,query
11094,query
68514,query
68138,query
11788,query
45935,query
14272,query
13559,query
27860,query
22521,query
11781,query
11817,query
22524,query
68137,query
68507,query
11062,query
72214,query
68376,query
27863,query
11785,query
11804,query
11824,query
11085,query
52479,query
64812,query
68508,query
22517,query
15725,query
45428,query
22515,query
62702,query
14276,query
22513,query
68375,query
68360,query
11074,query
72234,query
68522,query
72215,query
64798,query
27842,query
45423,query
27861,query
72221,query
11063,query
72233,query
11793,query
27852,query
68365,query
68510,query
45934,query
27859,query
11806,query
27869,query
11796,query
67411,query
11826,query
68509,query
11073,query
72229,query
68516,query
68520,query
68381,query
11777,query
68378,query
