index,set
111412,support
111269,support
111759,support
112011,support
111428,support
84724,support
111202,support
111656,support
111192,support
111659,support
110831,support
111574,support
111704,support
130131,support
111290,support
111643,support
110505,support
111487,support
111255,support
110611,support
112075,support
111884,support
111111,support
111861,support
111486,support
112030,support
111555,support
111776,support
110872,support
112220,support
112168,support
111433,support
111301,support
111769,support
110739,support
111241,support
85263,support
112139,support
111687,support
110685,support
111355,support
110670,support
112218,support
111528,support
111686,support
111537,support
111447,support
111690,support
111329,support
110570,support
111165,support
111529,support
111869,support
111738,support
110858,support
111504,support
85194,support
112036,support
111480,support
111374,support
130953,support
111716,support
112233,support
110861,support
111633,support
110675,support
111430,support
110976,support
85128,support
111364,support
110955,support
132328,support
131454,support
111083,support
111814,support
111177,support
112098,support
110810,support
110515,support
111189,support
84928,support
112074,support
111831,support
130509,support
110588,support
111324,support
110764,support
112056,support
111499,support
110823,support
111678,support
111823,support
111379,support
111876,support
112250,support
84954,support
131533,support
110618,support
111378,support
112082,support
112116,support
110665,support
111628,support
111363,support
110642,support
110693,support
110972,support
110809,support
110757,support
111327,support
112277,support
110722,support
112004,support
111608,support
110684,support
111679,support
111718,support
108439,support
111717,support
111160,support
110932,support
111664,support
111207,support
110911,support
110626,support
110967,support
110658,support
112270,support
111296,support
112018,support
111889,support
110755,support
111658,support
111834,support
110957,support
85083,support
111284,support
110534,support
110656,support
111626,support
112177,support
111648,support
112169,support
111287,support
110680,support
111137,support
112156,support
130823,support
111713,support
111481,support
111195,support
111144,support
112076,support
112034,support
112194,support
111629,support
111985,support
110529,support
111392,support
112064,support
110797,support
111170,support
111350,support
111781,support
111707,support
110711,support
111701,support
111898,support
110836,support
111245,support
85073,support
110762,support
110750,support
130822,support
111077,support
111634,support
110719,support
131453,support
110776,support
108444,support
130892,support
111221,support
110953,support
111733,support
111723,support
111313,support
110839,support
112092,support
111621,support
110696,support
112085,support
112203,support
111615,support
112093,support
110838,support
111468,support
111696,support
110653,support
85284,support
110958,support
112136,support
111982,support
111544,support
130149,support
110582,support
111825,support
111074,support
110721,support
110716,support
111632,support
112015,support
111603,support
112023,support
111045,support
112276,support
111105,support
111754,support
112108,support
110941,support
111339,support
111625,support
110613,support
112060,support
110516,support
110954,support
111450,support
110547,support
111669,support
111424,support
110798,support
84971,support
111446,support
111731,support
111321,support
110895,support
111377,support
111072,support
112253,support
84757,support
85101,support
110601,support
112292,support
110944,support
111652,support
111283,support
85026,support
110860,support
111744,support
110577,support
111040,support
110531,support
112198,support
110592,support
130938,support
110790,support
111822,support
110741,support
112165,support
110606,support
85057,support
111803,support
111197,support
110818,support
111383,support
111439,support
111459,support
130593,support
111568,support
131960,support
111858,support
130693,support
111102,support
129915,support
111817,support
130229,support
112185,support
111262,support
112033,support
112211,support
112070,support
111307,support
110956,support
112146,support
130419,support
84765,support
111990,support
111467,support
111013,support
111093,support
110918,support
111763,support
110907,support
130534,support
110816,support
111590,support
130508,support
110498,support
111580,support
110874,support
110581,support
111161,support
112159,support
110650,support
110616,support
110795,support
112113,support
111720,support
112086,support
110543,support
112129,support
110805,support
111190,support
132104,support
85096,support
108433,support
131430,support
130111,support
112111,support
111388,support
111644,support
111617,support
111213,support
111068,support
111774,support
111758,support
110983,support
112077,support
110687,support
111860,support
84912,support
111702,support
112013,support
110563,support
111285,support
131924,support
130062,support
111645,support
110569,support
110550,support
112058,support
110789,support
111211,support
111210,support
110678,support
132476,support
129645,support
111895,support
112037,support
112305,support
111338,support
112178,support
111055,support
110734,support
130257,support
111193,support
111123,support
111176,support
111764,support
110620,support
110559,support
111151,support
111832,support
111700,support
110820,support
112119,support
111682,support
131236,support
131237,support
111451,support
111752,support
112254,support
131120,support
112107,support
111444,support
111655,support
112186,support
110751,support
108447,support
110507,support
111407,support
110661,support
85265,support
110881,support
110903,support
111787,support
85055,support
111422,support
110892,support
110744,support
111358,support
112067,support
110754,support
111188,support
112127,support
111474,support
111585,support
110845,support
111532,support
110899,support
112196,support
130374,support
85103,support
111435,support
110710,support
111517,support
112298,support
111521,support
112008,support
112016,support
111849,support
110986,support
111066,support
108456,support
112205,support
108449,support
111082,support
111464,support
111579,support
111502,support
130061,support
112294,support
110689,support
112125,support
110540,support
104548,support
110621,support
111816,support
111742,support
112215,support
110619,support
110500,support
111668,support
111994,support
111571,support
112078,support
110679,support
110583,support
111614,support
110758,support
110517,support
111554,support
110962,support
111818,support
111297,support
112172,support
111708,support
110586,support
85235,support
111856,support
111449,support
110940,support
111463,support
84929,support
111231,support
110636,support
110593,support
111261,support
110748,support
130894,support
111649,support
111461,support
110784,support
110768,support
110746,support
112005,support
110742,support
110576,support
111893,support
111542,support
111749,support
112304,support
111139,support
110792,support
84921,support
111059,support
111952,support
111121,support
130868,support
111765,support
112084,support
112287,support
111859,support
110853,support
85122,support
110968,support
