index,set
100185,support
100121,support
100160,support
100060,support
100144,support
100150,support
100151,support
100099,support
100211,support
100133,support
100080,support
100075,support
85029,support
100040,support
100078,support
100204,support
100105,support
100222,support
100079,support
100223,support
100209,support
100097,support
100122,support
100058,support
100202,support
84788,support
100168,support
100063,support
100190,support
85153,support
100176,support
100149,support
100046,support
100087,support
100077,support
100140,support
100225,support
100156,support
100212,support
100074,support
85199,support
100141,support
100183,support
100153,support
100096,support
100162,support
84963,support
100213,support
100118,support
100116,support
100134,support
100084,support
100187,support
100195,support
100203,support
100131,support
100200,support
84772,support
100201,support
100192,support
100088,support
100095,support
100100,support
100142,support
100054,support
100051,support
84837,support
100170,support
100053,support
100172,support
100147,support
100197,support
85281,support
100045,support
100130,support
100232,support
100071,support
100072,support
84894,support
85273,support
100138,support
100217,support
100066,support
100136,support
100076,support
100125,support
100065,support
100182,support
100206,support
100119,support
100186,support
100143,support
100174,support
100229,support
100127,support
100207,support
100188,support
100221,support
85118,support
100124,support
100145,support
100163,support
100198,support
100132,query
100061,query
100226,query
84991,query
100069,query
100085,query
100094,query
100057,query
100224,query
100167,query
100086,query
100044,query
84882,query
100104,query
100135,query
100047,query
100146,query
100155,query
100098,query
100219,query
100123,query
100230,query
100159,query
100070,query
84742,query
100111,query
100164,query
100112,query
100055,query
100177,query
100102,query
100137,query
100081,query
84919,query
85206,query
100103,query
100208,query
84964,query
100106,query
100169,query
100154,query
100157,query
100109,query
100042,query
100117,query
100090,query
85255,query
100161,query
100228,query
100196,query
100062,query
100178,query
100199,query
100152,query
100181,query
85068,query
85166,query
100068,query
100048,query
100158,query
100180,query
100173,query
100059,query
85244,query
100052,query
100043,query
100165,query
100171,query
100220,query
100050,query
100126,query
100113,query
84793,query
100227,query
100191,query
100083,query
100184,query
100193,query
100214,query
100067,query
100148,query
100179,query
85181,query
100092,query
100107,query
100093,query
85266,query
100205,query
100216,query
100231,query
100089,query
100189,query
100215,query
100108,query
