index,set
30,support
0,support
22,support
31,support
18,support
28,support
10,support
70,support
4,support
12,support
49,support
33,support
67,support
35,support
68,support
45,support
73,support
61,support
55,support
40,support
9,support
64,support
5,support
47,support
34,support
62,support
42,support
54,support
16,support
39,support
56,support
79,support
7,support
50,support
53,support
19,support
66,support
25,support
44,support
13,support
76,query
3,query
17,query
38,query
8,query
65,query
6,query
36,query
72,query
58,query
46,query
78,query
15,query
27,query
41,query
26,query
48,query
24,query
43,query
77,query
57,query
11,query
32,query
75,query
59,query
63,query
69,query
37,query
29,query
1,query
52,query
21,query
2,query
23,query
74,query
20,query
60,query
71,query
14,query
51,query
