index,set
1486,support
1840,support
169,support
1355,support
737,support
1602,support
2871,support
2078,support
634,support
2677,support
2226,support
1290,support
1380,support
579,support
328,support
2816,support
892,support
1904,support
780,support
159,support
2869,support
1706,support
2350,support
61,support
849,support
2154,support
2923,support
2821,support
1043,support
2702,support
1544,support
1993,support
1671,support
1070,support
53,support
2470,support
258,support
505,support
752,support
2037,support
217,support
824,support
1569,support
3029,support
2299,support
1389,support
2531,support
1266,support
2493,support
1764,support
771,support
2833,support
1811,support
2715,support
1085,support
1797,support
1584,support
1325,support
2144,support
1607,support
1767,support
2416,support
1936,support
2745,support
2789,support
2698,support
1163,support
963,support
2933,support
2252,support
398,support
584,support
948,support
704,support
431,support
292,support
145,support
323,support
2223,support
1165,support
1452,support
2,support
576,support
2516,support
339,support
2266,support
1637,support
925,support
265,support
376,support
1918,support
1463,support
271,support
696,support
3005,support
244,support
2844,support
476,support
1748,support
1775,support
2509,support
1729,support
2898,support
2985,support
2863,support
1925,support
250,support
413,support
545,support
1193,support
738,support
310,support
1742,support
893,support
1131,support
1449,support
2938,support
15,support
2008,support
721,support
1420,support
2663,support
981,support
1929,support
1539,support
2655,support
1550,support
2960,support
363,support
982,support
182,support
985,support
2768,support
1194,support
2084,support
2469,support
1121,support
187,support
619,support
1736,support
1175,support
1182,support
2410,support
2225,support
614,support
1513,support
1466,support
401,support
994,support
934,support
371,support
1980,support
2190,support
593,support
2269,support
726,support
826,support
1727,support
687,support
2240,support
136,support
2477,support
628,support
334,support
390,support
2335,support
1109,support
1922,support
2728,support
710,support
1039,support
1940,support
2356,support
2624,support
1561,support
2787,support
1594,support
2991,support
2549,support
1112,support
465,support
1560,support
1223,support
2011,support
2998,support
2374,support
1508,support
1104,support
3000,support
338,support
215,support
1615,support
2977,support
2543,support
2835,support
1592,support
1891,support
1737,support
2551,support
816,support
1067,support
2054,support
274,support
2270,support
865,support
101,support
1501,support
2174,support
171,support
107,support
2213,support
1521,support
3019,support
2227,support
2014,support
1818,support
2066,support
2303,support
2276,support
2366,support
2870,support
1813,support
295,support
712,support
72,support
2010,support
2295,support
2590,support
2916,support
481,support
2243,support
1530,support
2582,support
1514,support
2992,support
1490,support
1171,support
2577,support
1882,support
2098,support
2241,support
2297,support
405,support
757,support
2015,support
2209,support
2164,support
97,support
1333,support
2415,support
743,support
806,support
2803,support
1954,support
2528,support
1535,support
2716,support
2130,support
148,support
2456,support
2077,support
1960,support
1315,support
692,support
818,support
1728,support
1386,support
2307,support
2080,support
1599,support
2387,support
2484,support
701,support
1933,support
2686,support
921,support
1424,support
1708,support
905,support
454,support
2106,support
2118,support
2330,support
1825,support
167,support
730,support
2183,support
1310,support
26,support
2013,support
1652,support
1622,support
587,support
1401,support
997,support
1176,support
1700,support
1040,support
33,support
1864,support
2394,support
1379,support
41,support
1846,support
2453,support
2635,support
2031,support
2073,support
1847,support
609,support
1132,support
28,support
441,support
2002,support
2185,support
493,support
1258,support
1301,support
2934,support
3016,support
1382,support
1304,support
236,support
551,support
520,support
2242,support
1232,support
1138,support
720,support
735,support
2683,support
1750,support
58,support
631,support
1181,support
2228,support
592,support
1303,support
1387,support
2645,support
2903,support
2540,support
939,support
2819,support
