index,Country,State
0,Angola,Uíge Province
1,Angola,Uíge Province
2,Angola,Uíge Province
3,Angola,Uíge Province
4,Angola,Uíge Province
5,Angola,Uíge Province
6,Angola,Uíge Province
7,Angola,Uíge Province
8,Angola,Uíge Province
9,Angola,Uíge Province
10,Angola,Uíge Province
11,Angola,Uíge Province
12,Angola,Uíge Province
13,Angola,Uíge Province
14,Angola,Uíge Province
15,Angola,Uíge Province
16,Angola,Uíge Province
17,Angola,Uíge Province
18,Angola,Uíge Province
19,Angola,Uíge Province
20,Angola,Uíge Province
21,Angola,Uíge Province
22,Angola,Uíge Province
23,Angola,Uíge Province
24,Angola,Uíge Province
25,Angola,Uíge Province
26,Angola,Uíge Province
27,Angola,Uíge Province
28,Angola,Uíge Province
29,Angola,Uíge Province
30,Angola,Uíge Province
31,Angola,Uíge Province
32,Angola,Cunene Province
33,Angola,Cunene Province
34,Angola,Cunene Province
35,Angola,Cunene Province
36,Angola,Cunene Province
37,Angola,Cunene Province
38,Angola,Cunene Province
39,Angola,Cunene Province
40,Angola,Cunene Province
41,Angola,Cunene Province
42,Angola,Cunene Province
43,Angola,Cunene Province
44,Angola,Cunene Province
45,Angola,Cunene Province
46,Angola,Cunene Province
47,Angola,Cunene Province
48,Angola,Cunene Province
49,Angola,Cunene Province
50,Angola,Cunene Province
51,Angola,Cunene Province
52,Angola,Cunene Province
53,Angola,Cunene Province
54,Angola,Cunene Province
55,Angola,Cunene Province
56,Angola,Cunene Province
57,Angola,Cunene Province
58,Angola,Cunene Province
59,Angola,Cunene Province
60,Angola,Cunene Province
61,Angola,Cunene Province
62,Angola,Cunene Province
63,Angola,Cunene Province
64,Angola,Huambo Province
65,Angola,Huambo Province
66,Angola,Huambo Province
67,Angola,Huambo Province
68,Angola,Huambo Province
69,Angola,Huambo Province
70,Angola,Huambo Province
71,Angola,Huambo Province
72,Angola,Huambo Province
73,Angola,Huambo Province
74,Angola,Huambo Province
75,Angola,Huambo Province
76,Angola,Huambo Province
77,Angola,Huambo Province
78,Angola,Huambo Province
79,Angola,Huambo Province
80,Angola,Huambo Province
81,Angola,Huambo Province
82,Angola,Huambo Province
83,Angola,Huambo Province
84,Angola,Huambo Province
85,Angola,Huambo Province
86,Angola,Huambo Province
87,Angola,Huambo Province
88,Angola,Huambo Province
89,Angola,Huambo Province
90,Angola,Huambo Province
91,Angola,Huambo Province
92,Angola,Huambo Province
93,Angola,Huambo Province
94,Angola,Huambo Province
95,Angola,Huambo Province
96,Angola,Huambo Province
97,Angola,Huambo Province
98,Angola,Huambo Province
99,Angola,Huambo Province
100,Angola,Huambo Province
101,Angola,Huambo Province
102,Angola,Huambo Province
103,Angola,Huambo Province
104,Angola,Huambo Province
105,Angola,Huambo Province
106,Angola,Huambo Province
107,Angola,Huambo Province
108,Angola,Huambo Province
109,Angola,Huambo Province
110,Angola,Huambo Province
111,Angola,Huambo Province
112,Angola,Huambo Province
113,Angola,Huambo Province
114,Angola,Huambo Province
